"Technology","Age","Value","Year"
"ICEV-G",0,108607,2005
"ICEV-D",0,6,2005
"HEV-G",0,352,2005
"HEV-D",0,0,2005
"CNG",0,199,2005
"PHEV",0,0,2005
"BEV",0,1,2005
"ICEV-G",1,96518,2005
"ICEV-D",1,0,2005
"HEV-G",1,0,2005
"HEV-D",1,0,2005
"CNG",1,0,2005
"PHEV",1,0,2005
"BEV",1,0,2005
"ICEV-G",2,78754,2005
"ICEV-D",2,0,2005
"HEV-G",2,0,2005
"HEV-D",2,0,2005
"CNG",2,0,2005
"PHEV",2,0,2005
"BEV",2,0,2005
"ICEV-G",3,46496,2005
"ICEV-D",3,0,2005
"HEV-G",3,0,2005
"HEV-D",3,0,2005
"CNG",3,0,2005
"PHEV",3,0,2005
"BEV",3,0,2005
"ICEV-G",4,34396,2005
"ICEV-D",4,0,2005
"HEV-G",4,0,2005
"HEV-D",4,0,2005
"CNG",4,0,2005
"PHEV",4,0,2005
"BEV",4,0,2005
"ICEV-G",5,10562,2005
"ICEV-D",5,0,2005
"HEV-G",5,0,2005
"HEV-D",5,0,2005
"CNG",5,0,2005
"PHEV",5,0,2005
"BEV",5,0,2005
"ICEV-G",6,6644,2005
"ICEV-D",6,0,2005
"HEV-G",6,0,2005
"HEV-D",6,0,2005
"CNG",6,0,2005
"PHEV",6,0,2005
"BEV",6,0,2005
"ICEV-G",7,8462,2005
"ICEV-D",7,0,2005
"HEV-G",7,0,2005
"HEV-D",7,0,2005
"CNG",7,0,2005
"PHEV",7,0,2005
"BEV",7,0,2005
"ICEV-G",8,2284,2005
"ICEV-D",8,0,2005
"HEV-G",8,0,2005
"HEV-D",8,0,2005
"CNG",8,0,2005
"PHEV",8,0,2005
"BEV",8,0,2005
"ICEV-G",9,3250,2005
"ICEV-D",9,0,2005
"HEV-G",9,0,2005
"HEV-D",9,0,2005
"CNG",9,0,2005
"PHEV",9,0,2005
"BEV",9,0,2005
"ICEV-G",10,644,2005
"ICEV-D",10,0,2005
"HEV-G",10,0,2005
"HEV-D",10,0,2005
"CNG",10,0,2005
"PHEV",10,0,2005
"BEV",10,0,2005
"ICEV-G",11,787,2005
"ICEV-D",11,0,2005
"HEV-G",11,0,2005
"HEV-D",11,0,2005
"CNG",11,0,2005
"PHEV",11,0,2005
"BEV",11,0,2005
"ICEV-G",12,4003,2005
"ICEV-D",12,0,2005
"HEV-G",12,0,2005
"HEV-D",12,0,2005
"CNG",12,0,2005
"PHEV",12,0,2005
"BEV",12,0,2005
"ICEV-G",13,12431,2005
"ICEV-D",13,0,2005
"HEV-G",13,0,2005
"HEV-D",13,0,2005
"CNG",13,0,2005
"PHEV",13,0,2005
"BEV",13,0,2005
"ICEV-G",14,11822,2005
"ICEV-D",14,0,2005
"HEV-G",14,0,2005
"HEV-D",14,0,2005
"CNG",14,0,2005
"PHEV",14,0,2005
"BEV",14,0,2005
"ICEV-G",15,1823,2005
"ICEV-D",15,0,2005
"HEV-G",15,0,2005
"HEV-D",15,0,2005
"CNG",15,0,2005
"PHEV",15,0,2005
"BEV",15,0,2005
"ICEV-G",16,2859,2005
