"Technology","Age","Value","Year","Mode"
"ICEB-D",0,331,2005,"Private bus"
"HEB-D",0,0,2005,"Private bus"
"CNGB",0,0,2005,"Private bus"
"EB",0,0,2005,"Private bus"
"ICEB-D",1,292,2005,"Private bus"
"HEB-D",1,0,2005,"Private bus"
"CNGB",1,0,2005,"Private bus"
"EB",1,0,2005,"Private bus"
"ICEB-D",2,299,2005,"Private bus"
"HEB-D",2,0,2005,"Private bus"
"CNGB",2,0,2005,"Private bus"
"EB",2,0,2005,"Private bus"
"ICEB-D",3,273,2005,"Private bus"
"HEB-D",3,0,2005,"Private bus"
"CNGB",3,0,2005,"Private bus"
"EB",3,0,2005,"Private bus"
"ICEB-D",4,359,2005,"Private bus"
"HEB-D",4,0,2005,"Private bus"
"CNGB",4,0,2005,"Private bus"
"EB",4,0,2005,"Private bus"
"ICEB-D",5,551,2005,"Private bus"
"HEB-D",5,0,2005,"Private bus"
"CNGB",5,0,2005,"Private bus"
"EB",5,0,2005,"Private bus"
"ICEB-D",6,350,2005,"Private bus"
"HEB-D",6,0,2005,"Private bus"
"CNGB",6,0,2005,"Private bus"
"EB",6,0,2005,"Private bus"
"ICEB-D",7,328,2005,"Private bus"
"HEB-D",7,0,2005,"Private bus"
"CNGB",7,0,2005,"Private bus"
"EB",7,0,2005,"Private bus"
"ICEB-D",8,394,2005,"Private bus"
"HEB-D",8,0,2005,"Private bus"
"CNGB",8,0,2005,"Private bus"
"EB",8,0,2005,"Private bus"
"ICEB-D",9,288,2005,"Private bus"
"HEB-D",9,0,2005,"Private bus"
"CNGB",9,0,2005,"Private bus"
"EB",9,0,2005,"Private bus"
"ICEB-D",10,430,2005,"Private bus"
"HEB-D",10,0,2005,"Private bus"
"CNGB",10,0,2005,"Private bus"
"EB",10,0,2005,"Private bus"
"ICEB-D",11,375,2005,"Private bus"
"HEB-D",11,0,2005,"Private bus"
"CNGB",11,0,2005,"Private bus"
"EB",11,0,2005,"Private bus"
"ICEB-D",12,347,2005,"Private bus"
"HEB-D",12,0,2005,"Private bus"
"CNGB",12,0,2005,"Private bus"
"EB",12,0,2005,"Private bus"
"ICEB-D",13,284,2005,"Private bus"
"HEB-D",13,0,2005,"Private bus"
"CNGB",13,0,2005,"Private bus"
"EB",13,0,2005,"Private bus"
"ICEB-D",14,284,2005,"Private bus"
"HEB-D",14,0,2005,"Private bus"
"CNGB",14,0,2005,"Private bus"
"EB",14,0,2005,"Private bus"
"ICEB-D",15,215,2005,"Private bus"
"HEB-D",15,0,2005,"Private bus"
"CNGB",15,0,2005,"Private bus"
"EB",15,0,2005,"Private bus"
"ICEB-D",16,146,2005,"Private bus"
"HEB-D",16,0,2005,"Private bus"
"CNGB",16,0,2005,"Private bus"
"EB",16,0,2005,"Private bus"
"ICEB-D",17,90,2005,"Private bus"
"HEB-D",17,0,2005,"Private bus"
"CNGB",17,0,2005,"Private bus"
"EB",17,0,2005,"Private bus"
"ICEB-D",18,7,2005,"Private bus"
"HEB-D",18,0,2005,"Private bus"
"CNGB",18,0,2005,"Private bus"
"EB",18,0,2005,"Private bus"
"ICEB-D",19,4,2005,"Private bus"
"HEB-D",19,0,2005,"Private bus"
"CNGB",19,0,2005,"Private bus"
"EB",19,0,2005,"Private bus"
"ICEB-D",20,0,2005,"Private bus"
"HEB-D",20,0,2005,"Private bus"
"CNGB",20,0,2005,"Private bus"
"EB",20,0,2005,"Private bus"
"ICEB-D",0,277,2006,"Private bus"
"HEB-D",0,0,2006,"Private bus"
"CNGB",0,5,2006,"Private bus"
"EB",0,0,2006,"Private bus"
"ICEB-D",1,331,2006,"Private bus"
"HEB-D",1,0,2006,"Private bus"
"CNGB",1,0,2006,"Private bus"
"EB",1,0,2006,"Private bus"
"ICEB-D",2,292,2006,"Private bus"
"HEB-D",2,0,2006,"Private bus"
"CNGB",2,0,2006,"Private bus"
"EB",2,0,2006,"Private bus"
"ICEB-D",3,299,2006,"Private bus"
"HEB-D",3,0,2006,"Private bus"
"CNGB",3,0,2006,"Private bus"
"EB",3,0,2006,"Private bus"
"ICEB-D",4,269,2006,"Private bus"
"HEB-D",4,0,2006,"Private bus"
"CNGB",4,0,2006,"Private bus"
"EB",4,0,2006,"Private bus"
"ICEB-D",5,349,2006,"Private bus"
"HEB-D",5,0,2006,"Private bus"
"CNGB",5,0,2006,"Private bus"
"EB",5,0,2006,"Private bus"
"ICEB-D",6,533,2006,"Private bus"
"HEB-D",6,0,2006,"Private bus"
"CNGB",6,0,2006,"Private bus"
"EB",6,0,2006,"Private bus"
"ICEB-D",7,337,2006,"Private bus"
"HEB-D",7,0,2006,"Private bus"
"CNGB",7,0,2006,"Private bus"
"EB",7,0,2006,"Private bus"
"ICEB-D",8,320,2006,"Private bus"
"HEB-D",8,0,2006,"Private bus"
"CNGB",8,0,2006,"Private bus"
"EB",8,0,2006,"Private bus"
"ICEB-D",9,385,2006,"Private bus"
"HEB-D",9,0,2006,"Private bus"
"CNGB",9,0,2006,"Private bus"
"EB",9,0,2006,"Private bus"
"ICEB-D",10,273,2006,"Private bus"
"HEB-D",10,0,2006,"Private bus"
"CNGB",10,0,2006,"Private bus"
"EB",10,0,2006,"Private bus"
"ICEB-D",11,429,2006,"Private bus"
"HEB-D",11,0,2006,"Private bus"
"CNGB",11,0,2006,"Private bus"
"EB",11,0,2006,"Private bus"
"ICEB-D",12,369,2006,"Private bus"
"HEB-D",12,0,2006,"Private bus"
"CNGB",12,0,2006,"Private bus"
"EB",12,0,2006,"Private bus"
"ICEB-D",13,335,2006,"Private bus"
"HEB-D",13,0,2006,"Private bus"
"CNGB",13,0,2006,"Private bus"
"EB",13,0,2006,"Private bus"
"ICEB-D",14,272,2006,"Private bus"
"HEB-D",14,0,2006,"Private bus"
"CNGB",14,0,2006,"Private bus"
"EB",14,0,2006,"Private bus"
"ICEB-D",15,267,2006,"Private bus"
"HEB-D",15,0,2006,"Private bus"
"CNGB",15,0,2006,"Private bus"
"EB",15,0,2006,"Private bus"
"ICEB-D",16,206,2006,"Private bus"
"HEB-D",16,0,2006,"Private bus"
"CNGB",16,0,2006,"Private bus"
"EB",16,0,2006,"Private bus"
"ICEB-D",17,133,2006,"Private bus"
"HEB-D",17,0,2006,"Private bus"
"CNGB",17,0,2006,"Private bus"
"EB",17,0,2006,"Private bus"
"ICEB-D",18,82,2006,"Private bus"
"HEB-D",18,0,2006,"Private bus"
"CNGB",18,0,2006,"Private bus"
"EB",18,0,2006,"Private bus"
"ICEB-D",19,2,2006,"Private bus"
"HEB-D",19,0,2006,"Private bus"
"CNGB",19,0,2006,"Private bus"
"EB",19,0,2006,"Private bus"
"ICEB-D",20,1,2006,"Private bus"
"HEB-D",20,0,2006,"Private bus"
"CNGB",20,0,2006,"Private bus"
"EB",20,0,2006,"Private bus"
"ICEB-D",0,395,2007,"Private bus"
"HEB-D",0,0,2007,"Private bus"
"CNGB",0,0,2007,"Private bus"
"EB",0,0,2007,"Private bus"
"ICEB-D",1,276,2007,"Private bus"
"HEB-D",1,0,2007,"Private bus"
"CNGB",1,5,2007,"Private bus"
"EB",1,0,2007,"Private bus"
"ICEB-D",2,331,2007,"Private bus"
"HEB-D",2,0,2007,"Private bus"
"CNGB",2,0,2007,"Private bus"
"EB",2,0,2007,"Private bus"
"ICEB-D",3,292,2007,"Private bus"
"HEB-D",3,0,2007,"Private bus"
"CNGB",3,0,2007,"Private bus"
"EB",3,0,2007,"Private bus"
"ICEB-D",4,296,2007,"Private bus"
"HEB-D",4,0,2007,"Private bus"
"CNGB",4,0,2007,"Private bus"
"EB",4,0,2007,"Private bus"
"ICEB-D",5,261,2007,"Private bus"
"HEB-D",5,0,2007,"Private bus"
"CNGB",5,0,2007,"Private bus"
"EB",5,0,2007,"Private bus"
"ICEB-D",6,341,2007,"Private bus"
"HEB-D",6,0,2007,"Private bus"
"CNGB",6,0,2007,"Private bus"
"EB",6,0,2007,"Private bus"
"ICEB-D",7,523,2007,"Private bus"
"HEB-D",7,0,2007,"Private bus"
"CNGB",7,0,2007,"Private bus"
"EB",7,0,2007,"Private bus"
"ICEB-D",8,328,2007,"Private bus"
"HEB-D",8,0,2007,"Private bus"
"CNGB",8,0,2007,"Private bus"
"EB",8,0,2007,"Private bus"
"ICEB-D",9,312,2007,"Private bus"
"HEB-D",9,0,2007,"Private bus"
"CNGB",9,0,2007,"Private bus"
"EB",9,0,2007,"Private bus"
"ICEB-D",10,378,2007,"Private bus"
"HEB-D",10,0,2007,"Private bus"
"CNGB",10,0,2007,"Private bus"
"EB",10,0,2007,"Private bus"
"ICEB-D",11,269,2007,"Private bus"
"HEB-D",11,0,2007,"Private bus"
"CNGB",11,0,2007,"Private bus"
"EB",11,0,2007,"Private bus"
"ICEB-D",12,427,2007,"Private bus"
"HEB-D",12,0,2007,"Private bus"
"CNGB",12,0,2007,"Private bus"
"EB",12,0,2007,"Private bus"
"ICEB-D",13,365,2007,"Private bus"
"HEB-D",13,0,2007,"Private bus"
"CNGB",13,0,2007,"Private bus"
"EB",13,0,2007,"Private bus"
"ICEB-D",14,325,2007,"Private bus"
"HEB-D",14,0,2007,"Private bus"
"CNGB",14,0,2007,"Private bus"
"EB",14,0,2007,"Private bus"
"ICEB-D",15,257,2007,"Private bus"
"HEB-D",15,0,2007,"Private bus"
"CNGB",15,0,2007,"Private bus"
"EB",15,0,2007,"Private bus"
"ICEB-D",16,263,2007,"Private bus"
"HEB-D",16,0,2007,"Private bus"
"CNGB",16,0,2007,"Private bus"
"EB",16,0,2007,"Private bus"
"ICEB-D",17,195,2007,"Private bus"
"HEB-D",17,0,2007,"Private bus"
"CNGB",17,0,2007,"Private bus"
"EB",17,0,2007,"Private bus"
"ICEB-D",18,120,2007,"Private bus"
"HEB-D",18,0,2007,"Private bus"
"CNGB",18,0,2007,"Private bus"
"EB",18,0,2007,"Private bus"
"ICEB-D",19,24,2007,"Private bus"
"HEB-D",19,0,2007,"Private bus"
"CNGB",19,0,2007,"Private bus"
"EB",19,0,2007,"Private bus"
"ICEB-D",20,1,2007,"Private bus"
"HEB-D",20,0,2007,"Private bus"
"CNGB",20,0,2007,"Private bus"
"EB",20,0,2007,"Private bus"
"ICEB-D",0,606,2008,"Private bus"
"HEB-D",0,0,2008,"Private bus"
"CNGB",0,0,2008,"Private bus"
"EB",0,0,2008,"Private bus"
"ICEB-D",1,395,2008,"Private bus"
"HEB-D",1,0,2008,"Private bus"
"CNGB",1,0,2008,"Private bus"
"EB",1,0,2008,"Private bus"
"ICEB-D",2,276,2008,"Private bus"
"HEB-D",2,0,2008,"Private bus"
"CNGB",2,5,2008,"Private bus"
