"Function","Input","Type"
"fleet_battery_flow_f","vehicle_module_f",".R"
"fleet_fuel_u_f","vehicle_module_f",".R"
"fleet_initialize_f","echno_input_nam","Input"
"fleet_initialize_f","int_stock_input_nam","Input"
"fleet_lca_demand_matrix_f","model_matching_passenger_transport_mode","Input"
"fleet_lca_demand_matrix_f","lca_process","Input"
"fleet_lca_env_matrix_f","lca_process","Input"
"fleet_lca_env_matrix_f","model_matching_passenger_transport_mode","Input"
"fleet_lca_env_matrix_f","ef_mobile_combustion","Input"
"fleet_lca_env_matrix_f","EF_lit_review","Input"
"fleet_lca_env_matrix_f","ef_greet","Input"
"fleet_lca_ghg_f","fleet_lca_demand_matrix_f",".R"
"fleet_lca_ghg_f","fleet_lca_env_matrix_f",".R"
"fleet_module_f","fleet_vint_stock_f",".R"
"fleet_module_f","fleet_battery_flow_f",".R"
"fleet_module_f","fleet_vkt_f",".R"
"fleet_module_f","fleet_fuel_u_f",".R"
"fleet_on_road_emissions_f","vehicle_module_f",".R"
"fleet_stock_proj_f","transport_activity_f",".R"
"fleet_vint_stock_f","fleet_initialize_f",".R"
"fleet_vint_stock_f","fleet_stock_proj_f",".R"
"fleet_vint_stock_f","fleet_technology_market_share_proj_f",".R"
"fleet_vint_stock_f","fleet_vint_stock_update_f",".R"
"fleet_vint_stock_update_f","survival_rate_f",".R"
"fleet_vkt_f","transport_activity_f",".R"
"optimization_pathway_f","transport_lca_ghg_f",".R"
"optimization_pathway_f","transport_lca_ghg_budget_f",".R"
"optimization_pathway_f","transport_lca_ghg_f",".R"
"optimization_pathway_f","transport_lca_ghg_f",".R"
"rapid_transit_module_f","transport_activity_f",".R"
"rapid_transit_module_f","vehicle_module_f",".R"
"rapid_transit_module_f","fleet_lca_demand_matrix_f",".R"
"rapid_transit_module_f","fleet_lca_env_matrix_f",".R"
"survival_rate_f","survival_rates","Input"
"transport_activity_f","transport_activity_initialize_f",".R"
"transport_activity_f","transport_activity_proj_f",".R"
"transport_activity_initialize_f","model_matching_passenger_transport_mode","Input"
"transport_activity_initialize_f","transport_priv_veh_load_factors_f",".R"
"transport_activity_initialize_f","transport_priv_veh_hist_f",".R"
"transport_activity_initialize_f","transport_public_transit_hist_f",".R"
"transport_activity_initialize_f","transport_public_transit_hist_kt_per_veh_f",".R"
"transport_fuel_use_f","rapid_transit_module_f",".R"
"transport_fuel_use_f","model_matching_passenger_transport_mode","Input"
"transport_fuel_use_f","fleet_module_f",".R"
"transport_lca_ghg_budget_f","transport_lca_ghg_f",".R"
"transport_lca_ghg_budget_f","co2_budget","Input"
"transport_lca_ghg_f","rapid_transit_module_f",".R"
"transport_lca_ghg_f","model_matching_passenger_transport_mode","Input"
"transport_lca_ghg_f","fleet_module_f",".R"
"transport_lca_ghg_f","fleet_lca_ghg_f",".R"
"transport_on_road_emissions_f","model_matching_passenger_transport_mode","Input"
"transport_on_road_emissions_f","fleet_module_f",".R"
"transport_on_road_emissions_f","fleet_on_road_emissions_f",".R"
"transport_priv_veh_hist_f","hist_veh_pop","Input"
"transport_priv_veh_hist_f","hist_veh_pop_add","Input"
"transport_priv_veh_hist_f","hist_kt_per_veh","Input"
"transport_public_transit_hist_f","hist_public_transit_vkt","Input"
"transport_public_transit_hist_f","hist_public_transit_ridership","Input"
"transport_public_transit_hist_f","hist_public_transit_trip_distance","Input"
"transport_public_transit_hist_kt_per_veh_f","hist_veh_pop","Input"
"transport_veh_pop_f","model_matching_passenger_transport_mode","Input"
"transport_veh_pop_f","fleet_module_f",".R"
"vehicle_initialize_f","battery_capacity","Input"
"vehicle_initialize_f","vehicle_hist_fc_f",".R"
"vehicle_initialize_f","vehicle_hist_ef_f",".R"
"vehicle_initialize_f","phev_uf_f",".R"
"vehicle_lca_demand_f","vehicle_module_f",".R"
"vehicle_lca_demand_f","transport_activity_f",".R"
"vehicle_lca_demand_f","lca_process","Input"
"vehicle_lca_demand_f","model_matching_passenger_transport_mode","Input"
"vehicle_lca_ghg_f","transport_activity_f",".R"
"vehicle_lca_ghg_f","lca_process","Input"
"vehicle_lca_ghg_f","model_matching_passenger_transport_mode","Input"
"vehicle_lca_ghg_f","nput_data_nam","Input"
"vehicle_lca_ghg_f","fleet_lca_env_matrix_f",".R"
"vehicle_lca_ghg_f","vehicle_lca_demand_f",".R"
"vehicle_module_f","model_matching_passenger_transport_mode","Input"
"vehicle_module_f","nput_data_nam","Input"
"vehicle_module_f","vehicle_initialize_f",".R"
"vehicle_module_f","vehicle_fc_proj_f",".R"
"vehicle_module_f","vehicle_ef_proj_f",".R"
"vehicle_on_road_emissions_f","vehicle_module_f",".R"
"vehicle_on_road_emissions_f","transport_activity_f",".R"
